Architecture,Metric,Tier,Auto-KGR Score,BM25RerankerRAG Score,Graph Lift (dG)
MultiAgentBM25,relevance,T2: Constraint,1.667,3.607,-0.5379
MultiAgentBM25,relevance,T3: MultiHop,1.533,2.44,-0.3716
MultiAgentBM25,relevance,T4: Comparative,1.4,3.24,-0.5679
MultiAgentBM25,rougeL_fmeasure,Overall,0.15,0.24,-0.3745
MultiAgentBM25,rougeL_fmeasure,T1: Factual,0.121,0.273,-0.5562
MultiAgentBM25,rougeL_fmeasure,T2: Constraint,0.176,0.275,-0.3589
MultiAgentBM25,rougeL_fmeasure,T3: MultiHop,0.161,0.224,-0.2822
MultiAgentBM25,rougeL_fmeasure,T4: Comparative,0.141,0.187,-0.2432
MultiAgentBM25,gold_retrieval_recall_at_k,Overall,0.448,0.768,-0.4171
MultiAgentBM25,gold_retrieval_recall_at_k,T1: Factual,0.433,0.777,-0.4421
MultiAgentBM25,gold_retrieval_recall_at_k,T2: Constraint,0.4,0.797,-0.4979
MultiAgentBM25,gold_retrieval_recall_at_k,T3: MultiHop,0.533,0.842,-0.3668
MultiAgentBM25,gold_retrieval_recall_at_k,T4: Comparative,0.423,0.656,-0.3542
