Model,Distractor Ratio,Score (μ ± σ),Fidelity Gap,Gap Display,Interpretation
Graph-Deterministic,0.0,2.00 ± nan,0.0,0.00% (±0.00%),High Fidelity
StandardRAG,0.0,2.00 ± nan,0.0,0.00% (±0.00%),High Fidelity
Baseline,0.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Graph-Anchored,0.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Multi-Agent,0.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Graph-Deterministic,0.5,2.00 ± nan,0.0,0.00% (±0.00%),High Fidelity
StandardRAG,0.5,2.00 ± nan,0.0,0.00% (±0.00%),High Fidelity
Baseline,0.5,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Graph-Anchored,0.5,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Multi-Agent,0.5,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Graph-Deterministic,1.0,2.00 ± nan,0.0,0.00% (±0.00%),High Fidelity
StandardRAG,1.0,2.00 ± nan,0.0,0.00% (±0.00%),High Fidelity
Baseline,1.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Graph-Anchored,1.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Multi-Agent,1.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Graph-Deterministic,2.0,2.00 ± nan,0.0,0.00% (±0.00%),High Fidelity
StandardRAG,2.0,2.00 ± nan,0.0,0.00% (±0.00%),High Fidelity
Baseline,2.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Graph-Anchored,2.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Multi-Agent,2.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Graph-Deterministic,3.0,2.00 ± nan,0.0,0.00% (±0.00%),High Fidelity
StandardRAG,3.0,2.00 ± nan,0.0,0.00% (±0.00%),High Fidelity
Baseline,3.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Graph-Anchored,3.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
Multi-Agent,3.0,1.00 ± nan,0.5,50.00% (±0.00%),Critical Loss
