System,Distractor Ratio,Correctness (1-5) (95% CI),Relevance (1-5) (95% CI),Groundedness (0-1) (95% CI),Recall@K (95% CI),Precision@K (95% CI),MRR (95% CI),ROUGE-1 F1 (95% CI),ROUGE-L F1 (95% CI)
CrossEncoderReranker,1.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.65 [0.65, 0.65]","0.63 [0.63, 0.63]"
CrossEncoderReranker,2.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.65 [0.65, 0.65]","0.63 [0.63, 0.63]"
CrossEncoderReranker,3.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.65 [0.65, 0.65]","0.63 [0.63, 0.63]"
Graph-Deterministic,0.0,"1.00 [1.00, 1.00]","2.00 [2.00, 2.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.25 [0.25, 0.25]","0.21 [0.21, 0.21]"
Graph-Deterministic,0.5,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.25 [0.25, 0.25]","0.21 [0.21, 0.21]"
Graph-Deterministic,1.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.25 [0.25, 0.25]","0.21 [0.21, 0.21]"
Graph-Deterministic,2.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.25 [0.25, 0.25]","0.21 [0.21, 0.21]"
Graph-Deterministic,3.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.25 [0.25, 0.25]","0.21 [0.21, 0.21]"
Graph-Anchored,0.0,"2.00 [2.00, 2.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.29 [0.29, 0.29]","0.24 [0.24, 0.24]"
Graph-Anchored,0.5,"2.00 [2.00, 2.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.29 [0.29, 0.29]","0.24 [0.24, 0.24]"
Graph-Anchored,1.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.29 [0.29, 0.29]","0.24 [0.24, 0.24]"
Graph-Anchored,2.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.29 [0.29, 0.29]","0.24 [0.24, 0.24]"
Graph-Anchored,3.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.29 [0.29, 0.29]","0.24 [0.24, 0.24]"
Multi-Agent,0.0,"1.00 [1.00, 1.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.32 [0.32, 0.32]","0.25 [0.25, 0.25]"
Multi-Agent,0.5,"-1.00 [-1.00, -1.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.32 [0.32, 0.32]","0.25 [0.25, 0.25]"
Multi-Agent,1.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.32 [0.32, 0.32]","0.25 [0.25, 0.25]"
Multi-Agent,2.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.32 [0.32, 0.32]","0.25 [0.25, 0.25]"
Multi-Agent,3.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.32 [0.32, 0.32]","0.25 [0.25, 0.25]"
Multi-AgentBM25,0.0,"1.00 [1.00, 1.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.32 [0.32, 0.32]","0.25 [0.25, 0.25]"
Multi-AgentBM25,0.5,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.32 [0.32, 0.32]","0.25 [0.25, 0.25]"
Multi-AgentBM25,1.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.32 [0.32, 0.32]","0.25 [0.25, 0.25]"
Multi-AgentBM25,2.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.32 [0.32, 0.32]","0.25 [0.25, 0.25]"
Multi-AgentBM25,3.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.32 [0.32, 0.32]","0.25 [0.25, 0.25]"
StandardRAG,0.0,"2.00 [2.00, 2.00]","3.00 [3.00, 3.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.80 [0.80, 0.80]","1.00 [1.00, 1.00]","0.27 [0.27, 0.27]","0.17 [0.17, 0.17]"
StandardRAG,0.5,"2.00 [2.00, 2.00]","3.00 [3.00, 3.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.80 [0.80, 0.80]","1.00 [1.00, 1.00]","0.27 [0.27, 0.27]","0.17 [0.17, 0.17]"
StandardRAG,1.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.80 [0.80, 0.80]","1.00 [1.00, 1.00]","0.27 [0.27, 0.27]","0.17 [0.17, 0.17]"
StandardRAG,2.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.80 [0.80, 0.80]","1.00 [1.00, 1.00]","0.27 [0.27, 0.27]","0.17 [0.17, 0.17]"
StandardRAG,3.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.80 [0.80, 0.80]","1.00 [1.00, 1.00]","0.27 [0.27, 0.27]","0.17 [0.17, 0.17]"
TemplatePrompting,0.0,"2.00 [2.00, 2.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.27 [0.27, 0.27]","0.17 [0.17, 0.17]"
TemplatePrompting,0.5,"2.00 [2.00, 2.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.26 [0.26, 0.26]","0.17 [0.17, 0.17]"
TemplatePrompting,1.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.27 [0.27, 0.27]","0.17 [0.17, 0.17]"
TemplatePrompting,2.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.26 [0.26, 0.26]","0.17 [0.17, 0.17]"
TemplatePrompting,3.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.26 [0.26, 0.26]","0.17 [0.17, 0.17]"
