System,Distractor Ratio,Correctness (1-5) (95% CI),Relevance (1-5) (95% CI),Groundedness (0-1) (95% CI),Recall@K (95% CI),Precision@K (95% CI),MRR (95% CI),ROUGE-1 F1 (95% CI),ROUGE-L F1 (95% CI)
CrossEncoderReranker,1.0,"2.80 [2.63, 2.96]","2.98 [2.77, 3.19]","0.74 [0.67, 0.82]","0.77 [0.71, 0.82]","0.68 [0.62, 0.74]","0.85 [0.79, 0.90]","0.36 [0.34, 0.38]","0.24 [0.22, 0.27]"
CrossEncoderReranker,2.0,"2.80 [2.62, 2.98]","3.02 [2.80, 3.25]","0.71 [0.63, 0.79]","0.77 [0.72, 0.82]","0.68 [0.62, 0.74]","0.84 [0.79, 0.90]","0.36 [0.34, 0.39]","0.25 [0.23, 0.27]"
CrossEncoderReranker,3.0,"2.81 [2.63, 2.98]","3.02 [2.81, 3.24]","0.75 [0.67, 0.82]","0.77 [0.72, 0.82]","0.67 [0.61, 0.73]","0.85 [0.80, 0.90]","0.37 [0.35, 0.39]","0.25 [0.23, 0.27]"
Graph-Deterministic,0.0,"1.58 [1.46, 1.71]","1.48 [1.37, 1.59]","0.87 [0.80, 0.93]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.14 [0.13, 0.16]","0.10 [0.10, 0.11]"
Graph-Deterministic,0.5,"1.58 [1.46, 1.71]","1.48 [1.37, 1.59]","0.87 [0.80, 0.93]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.14 [0.13, 0.16]","0.10 [0.10, 0.11]"
Graph-Deterministic,1.0,"1.58 [1.46, 1.71]","1.48 [1.37, 1.59]","0.87 [0.80, 0.93]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.14 [0.13, 0.16]","0.10 [0.10, 0.11]"
Graph-Deterministic,2.0,"1.58 [1.46, 1.71]","1.48 [1.37, 1.59]","0.87 [0.80, 0.93]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.14 [0.13, 0.16]","0.10 [0.10, 0.11]"
Graph-Deterministic,3.0,"1.58 [1.46, 1.71]","1.48 [1.37, 1.59]","0.87 [0.80, 0.93]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.14 [0.13, 0.16]","0.10 [0.10, 0.11]"
Graph-Anchored,0.0,"1.59 [1.49, 1.71]","1.33 [1.20, 1.49]","0.95 [0.91, 0.98]","0.45 [0.39, 0.52]","0.20 [0.17, 0.24]","0.37 [0.31, 0.44]","0.22 [0.20, 0.24]","0.15 [0.14, 0.16]"
Graph-Anchored,0.5,"1.59 [1.49, 1.70]","1.32 [1.19, 1.48]","0.94 [0.89, 0.98]","0.45 [0.39, 0.52]","0.20 [0.17, 0.24]","0.37 [0.31, 0.44]","0.22 [0.20, 0.25]","0.15 [0.14, 0.17]"
Graph-Anchored,1.0,"1.59 [1.49, 1.70]","1.32 [1.19, 1.48]","0.94 [0.89, 0.98]","0.45 [0.39, 0.52]","0.20 [0.17, 0.24]","0.37 [0.31, 0.44]","0.22 [0.20, 0.25]","0.15 [0.14, 0.17]"
